"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 50","23,880.55","24,074.05","23,856.35","23,775.10","24,050.60","-","275.50","1.16","48,13,02,436","40,108.96","26,373.20","22,182.55","-0.87","7.37"
"HDFCBANK","804.00","812.25","801.00","797.70","810.10","-","12.40","1.55","3,81,56,026","3,087.36","1,020.50","726.65","-4.63","-8.20"
"TCS","2,565.80","2,565.80","2,501.10","2,589.00","2,523.00","-","-66.00","-2.55","1,04,80,239","2,643.82","3,630.50","2,346.20","0.39","-22.29"
"RELIANCE","1,337.00","1,352.30","1,331.50","1,330.00","1,350.00","-","20.00","1.50","1,93,64,461","2,608.32","1,611.80","1,168.00","-4.17","13.89"
"INFY","1,318.00","1,318.90","1,283.30","1,331.60","1,291.40","-","-40.20","-3.02","1,92,33,369","2,486.26","1,728.00","1,215.10","-0.32","-8.00"
"ICICIBANK","1,289.00","1,324.00","1,288.50","1,281.30","1,322.80","-","41.50","3.24","1,81,74,755","2,394.03","1,500.00","1,187.60","0.83","1.69"
"SBIN","1,049.00","1,069.45","1,046.15","1,040.95","1,066.00","-","25.05","2.41","1,78,61,336","1,893.37","1,234.70","741.00","-4.15","43.63"
"SUNPHARMA","1,699.20","1,700.00","1,630.40","1,717.10","1,655.00","-","-62.10","-3.62","80,89,531","1,335.75","1,851.20","1,548.00","-8.70","0.17"
"COALINDIA","455.00","459.60","427.50","454.10","435.30","-","-18.80","-4.14","2,96,05,732","1,301.85","476.00","368.65","-1.86","16.20"
"LT","3,932.00","3,965.00","3,915.60","3,896.20","3,961.00","-","64.80","1.66","28,22,017","1,114.43","4,440.00","3,048.00","2.19","29.69"
"BHARTIARTL","1,868.00","1,874.60","1,859.90","1,859.40","1,867.00","-","7.60","0.41","58,57,988","1,093.96","2,174.50","1,711.60","0.90","8.83"
"WIPRO","208.70","208.70","200.62","202.87","204.60","-","1.73","0.85","5,12,19,565","1,045.39","273.10","186.50","1.83","-13.54"
"ETERNAL","240.40","242.45","237.11","237.89","240.48","-","2.59","1.09","4,01,80,860","964.46","368.45","209.86","6.12","13.76"
"AXISBANK","1,328.80","1,358.60","1,326.10","1,318.50","1,351.10","-","32.60","2.47","67,55,589","911.90","1,418.30","1,042.50","2.77","27.26"
"M&M","3,180.00","3,270.00","3,180.00","3,166.80","3,266.00","-","99.20","3.13","28,01,451","909.10","3,839.90","2,515.95","-0.84","29.44"
"KOTAKBANK","373.50","379.15","372.35","371.90","375.00","-","3.10","0.83","2,37,51,660","892.97","460.38","345.50","-4.30","-8.66"
"BAJFINANCE","915.75","927.30","912.30","903.25","922.00","-","18.75","2.08","94,91,544","873.83","1,102.50","787.90","-1.89","5.54"
"SHRIRAMFIN","1,016.10","1,031.00","1,011.25","996.30","1,026.55","-","30.25","3.04","80,48,521","823.84","1,108.00","566.50","-3.42","64.37"
"BAJAJ-AUTO","9,400.00","9,844.00","9,399.50","9,517.00","9,830.50","-","313.50","3.29","7,38,971","719.01","10,187.00","7,460.50","2.29","29.82"
"ASIANPAINT","2,267.70","2,376.90","2,267.70","2,269.60","2,356.00","-","86.40","3.81","30,18,178","709.97","2,985.70","2,115.00","3.32","-2.29"
"TITAN","4,430.10","4,523.90","4,425.10","4,439.80","4,496.50","-","56.70","1.28","15,65,192","700.27","4,523.90","3,090.70","6.55","41.66"
"MARUTI","13,650.00","13,797.00","13,590.00","13,589.00","13,689.00","-","100.00","0.74","4,71,921","647.18","17,370.00","11,289.00","-1.28","19.48"
"HINDALCO","995.35","995.55","978.65","985.65","990.00","-","4.35","0.44","60,13,190","593.51","1,029.80","552.20","3.49","75.53"
"ADANIPORTS","1,442.00","1,478.10","1,438.30","1,447.40","1,474.10","-","26.70","1.84","40,26,881","589.51","1,584.00","1,112.00","3.51","30.24"
"INDIGO","4,490.00","4,578.00","4,460.00","4,449.10","4,569.30","-","120.20","2.70","12,96,004","586.39","6,232.50","3,895.20","4.31","-12.02"
"TATASTEEL","207.98","209.00","204.80","205.20","206.85","-","1.65","0.80","2,83,85,501","585.68","216.45","125.30","6.08","62.64"
"NTPC","381.20","384.45","372.05","378.65","380.15","-","1.50","0.40","1,49,53,758","566.13","394.50","315.55","0.76","8.82"
"ITC","303.00","305.40","302.60","303.00","304.15","-","1.15","0.38","1,77,44,386","539.54","444.20","287.00","-1.59","-26.94"
"EICHERMOT","7,201.00","7,435.50","7,201.00","7,147.50","7,415.50","-","268.00","3.75","7,05,365","519.02","8,230.00","5,182.35","-1.61","41.02"
"HCLTECH","1,452.00","1,457.60","1,421.10","1,464.90","1,451.00","-","-13.90","-0.95","34,50,066","496.34","1,780.10","1,297.70","6.57","5.14"
"ULTRACEMCO","11,500.00","11,643.00","11,476.00","11,448.00","11,608.00","-","160.00","1.40","4,20,339","486.68","13,110.00","10,325.00","-0.39","1.85"
"BEL","444.10","447.45","440.45","439.75","442.30","-","2.55","0.58","1,08,33,065","480.16","473.45","276.60","-4.54","57.88"
"TRENT","3,880.00","3,969.00","3,871.30","3,850.70","3,927.00","-","76.30","1.98","11,86,264","464.95","6,261.00","3,275.50","5.70","-15.00"
"HINDUNILVR","2,133.20","2,170.00","2,121.40","2,133.20","2,166.10","-","32.90","1.54","21,44,484","461.68","2,750.00","2,022.50","-1.10","-7.83"
"POWERGRID","301.10","303.50","299.75","298.10","301.60","-","3.50","1.17","1,32,45,074","399.64","322.00","250.00","0.99","2.79"
"MAXHEALTH","954.95","959.45","941.50","954.95","957.00","-","2.05","0.21","40,11,184","381.33","1,314.30","903.00","-8.25","-14.79"
"ONGC","288.60","291.85","284.55","288.60","286.70","-","-1.90","-0.66","1,28,89,209","371.36","293.00","220.26","6.50","29.18"
"TMPV","336.60","343.80","335.00","333.25","343.00","-","9.75","2.93","1,06,66,149","362.18","744.00","294.30","-0.64","-41.16"
"ADANIENT","2,043.10","2,094.60","2,041.70","2,040.50","2,087.20","-","46.70","2.29","17,00,162","353.07","2,616.50","1,753.00","4.54","-3.89"
"APOLLOHOSP","7,500.00","7,563.00","7,461.50","7,481.50","7,519.50","-","38.00","0.51","4,37,163","329.04","8,099.50","6,665.00","-3.63","10.03"
"TECHM","1,461.00","1,461.00","1,426.00","1,461.60","1,438.90","-","-22.70","-1.55","20,45,026","293.69","1,854.00","1,264.35","7.65","13.05"
"JIOFIN","240.70","243.80","240.00","238.84","243.48","-","4.64","1.94","1,20,39,959","292.19","338.60","218.25","3.17","10.21"
"HDFCLIFE","595.00","605.45","590.50","591.20","604.50","-","13.30","2.25","43,85,843","263.36","820.75","555.10","-7.86","-11.73"
